Register Name,Register Address,Register Width,Register Access,Register Reset Value,Register Constraints,Register Custom Type,Field Name,Field Offset,Field Width,Field Access,Field Reset Value,Field is Covered,Field is Reserved,Field is Volatile,Field Constraints,Register Description,Field Description
RO_CHAL_xx_ALL_w23,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w24,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w25,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w26,,8,RO,,,,hdr_mm_cntr,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w27,,8,RO,,,,hdr_mm_cntr,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w28,,8,RO,,,,orbsyn_hdr_err_cnt,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w29,,8,RO,,,,orbsyn_arr_err_cnt,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w30,,8,RO,,,,orbsyn_fc_err_cnt,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w31,,8,RO,,,,prbs_chk_err_cnt,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w32,,8,RO,,,,tmr_err_cnt_chan_aligner,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w33,,8,RO,,,,tmr_err_cnt_chan_err,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w34,,8,RO,,,,tmr_err_cnt_chan_eprxgrp,0,8,,0x0,TRUE,FALSE,TRUE,,,
WO_CHERR_xx_ALL_w0,,8,WO,,,,clr_on_read,0,1,,0x0,TRUE,FALSE,FALSE,,,
WO_CHERR_xx_ALL_w0,,8,WO,,,,wren_err,1,1,,0x0,TRUE,FALSE,FALSE,,,
WO_CHERR_xx_ALL_w0,,8,WO,,,,wren_msk,2,1,,0x0,TRUE,FALSE,FALSE,,,
WO_CHERR_xx_ALL_w0,,8,WO,,,,RSVD0,3,5,,0x0,FALSE,TRUE,FALSE,,,
RO_CHERR_xx_ALL_w0,,8,RO,,,,err_raw_dat,0,6,,0x0,TRUE,FALSE,TRUE,,,
RO_CHERR_xx_ALL_w0,,8,RO,,,,RSVD0,6,2,,0x0,FALSE,TRUE,TRUE,,,
RO_CHERR_xx_ALL_w1,,8,RO,,,,msk_dat,0,6,,0x0,TRUE,FALSE,TRUE,,,
RO_CHERR_xx_ALL_w1,,8,RO,,,,RSVD1,6,2,,0x0,FALSE,TRUE,TRUE,,,
RO_CHERR_xx_ALL_w2,,8,RO,,,,err_dat,0,6,,0x0,TRUE,FALSE,TRUE,,,
RO_CHERR_xx_ALL_w2,,8,RO,,,,err_out,6,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHERR_xx_ALL_w2,,8,RO,,,,RSVD2,7,1,,0x0,FALSE,TRUE,TRUE,,,
RW_CHEPRXGRP_xx_ALL_w0,,8,RW,,,,dllResetReq,0,1,,0x0,TRUE,FALSE,FALSE,,,
RW_CHEPRXGRP_xx_ALL_w0,,8,RW,,,,resetChannels,1,1,,0x0,TRUE,FALSE,FALSE,,,
RW_CHEPRXGRP_xx_ALL_w0,,8,RW,,,,trainChannel,2,1,,0x0,TRUE,FALSE,FALSE,,,
RW_CHEPRXGRP_xx_ALL_w0,,8,RW,,,,phaseSelectChannel0input,3,4,,0x0,TRUE,FALSE,FALSE,,,
RW_CHEPRXGRP_xx_ALL_w0,,8,RW,,,,RSVD0,7,1,,0x0,FALSE,TRUE,FALSE,,,
RO_CHEPRXGRP_xx_ALL_w0,,8,RO,,,,dllState,0,2,,0x0,TRUE,FALSE,TRUE,,,
RO_CHEPRXGRP_xx_ALL_w0,,8,RO,,,,phaseSelectChannel0output,2,4,,0x0,TRUE,FALSE,TRUE,,,
RO_CHEPRXGRP_xx_ALL_w0,,8,RO,,,,dllInstantLock,6,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHEPRXGRP_xx_ALL_w0,,8,RO,,,,channelLocked,7,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHEPRXGRP_xx_ALL_w1,,8,RO,,,,dllLocked,0,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHEPRXGRP_xx_ALL_w1,,8,RO,,,,dllLockFilterState,1,2,,0x0,TRUE,FALSE,TRUE,,,
RO_CHEPRXGRP_xx_ALL_w1,,8,RO,,,,dllLossOfLockCount,3,5,,0x0,TRUE,FALSE,TRUE,,,
RW_ALIGNER_ALL_w0,,8,RW,,,,snapshot_arm,0,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w0,,8,RW,,,,snapshot_en,1,1,,0x1,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w0,,8,RW,,,,i2c_snapshot_en,2,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w0,,8,RW,,,,dbg_fc_cnt_clr,3,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w0,,8,RW,,,,freeze_aligner_output_enable,4,1,,0x1,TRUE,FALSE,FALSE,,,Enables the freezing of the ECOND inputs data when the PLL is not locked or any of the active channels (eRX) is not locked. Set to 1'b0 to force input data through the chip.
RW_ALIGNER_ALL_w0,,8,RW,,,,freeze_aligner_output_enable_all_channels_locked,5,1,,0x1,TRUE,FALSE,FALSE,,,Enables the freezing of the ECOND inputs data when any of the active input channels (eRX) is not locked. Set 1'b0 to skip the check on the enabled channels.
RW_ALIGNER_ALL_w0,,8,RW,,,,RSVD0,6,2,,0x0,FALSE,TRUE,FALSE,,,
RW_ALIGNER_ALL_w1,,8,RW,,,,match_pattern_val,0,8,,0xcc,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w2,,8,RW,,,,match_pattern_val,0,8,,0xcc,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w3,,8,RW,,,,match_pattern_val,0,8,,0xcc,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w4,,8,RW,,,,match_pattern_val,0,8,,0x9c,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w5,,8,RW,,,,match_pattern_val,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w6,,8,RW,,,,match_pattern_val,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w7,,8,RW,,,,match_pattern_val,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w8,,8,RW,,,,match_pattern_val,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w9,,8,RW,,,,match_mask_val,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w10,,8,RW,,,,match_mask_val,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w11,,8,RW,,,,match_mask_val,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w12,,8,RW,,,,match_mask_val,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w13,,8,RW,,,,match_mask_val,0,8,,0xff,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w14,,8,RW,,,,match_mask_val,0,8,,0xff,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w15,,8,RW,,,,match_mask_val,0,8,,0xff,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w16,,8,RW,,,,match_mask_val,0,8,,0xff,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w17,,8,RW,,,,orbsyn_hdr_val,0,4,,0x9,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w17,,8,RW,,,,orbsyn_hdr_mask,4,4,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w18,,8,RW,,,,idle_hdr_val,0,4,,0xa,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w18,,8,RW,,,,idle_hdr_mask,4,4,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w19,,8,RW,,,,orbsyn_cnt_max_val,0,8,,0xeb,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w20,,8,RW,,,,orbsyn_cnt_max_val,0,4,,0xd,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w20,,8,RW,,,,orbsyn_cnt_load_val,4,4,,0x9,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w21,,8,RW,,,,orbsyn_cnt_load_val,0,8,,0xdb,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w22,,8,RW,,,,orbsyn_cnt_snapshot,0,8,,0x2,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w23,,8,RW,,,,orbsyn_cnt_snapshot,0,4,,0x0,TRUE,FALSE,FALSE,,,
RW_ALIGNER_ALL_w23,,8,RW,,,,RSVD1,4,4,,0x0,FALSE,TRUE,FALSE,,,
RO_ALIGNER_ALL_w0,,8,RO,,,,done,0,1,,0x0,TRUE,FALSE,TRUE,,,
RO_ALIGNER_ALL_w0,,8,RO,,,,dbg_lreset_rcvd,1,1,,0x0,TRUE,FALSE,TRUE,,,
RO_ALIGNER_ALL_w0,,8,RO,,,,dbg_orbsyn_rcvd,2,1,,0x0,TRUE,FALSE,TRUE,,,
RO_ALIGNER_ALL_w0,,8,RO,,,,dbg_fc_cnt,3,5,,0x0,TRUE,FALSE,TRUE,,,
RO_ALIGNER_ALL_w1,,8,RO,,,,tmr_err_cnt_aligner,0,8,,0x0,TRUE,FALSE,TRUE,,,
RW_ERRTOP_ALL_w0,,8,RW,,,,clr_on_read_top,0,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ERRTOP_ALL_w0,,8,RW,,,,wren_err_top,1,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ERRTOP_ALL_w0,,8,RW,,,,wren_msk_top,2,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ERRTOP_ALL_w0,,8,RW,,,,RSVD0,3,5,,0x0,FALSE,TRUE,FALSE,,,
RW_ERRTOP_ALL_w1,,8,RW,,,,wr_data_top,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_ERRTOP_ALL_w2,,8,RW,,,,wr_data_top,0,5,,0x0,TRUE,FALSE,FALSE,,,
RW_ERRTOP_ALL_w2,,8,RW,,,,RSVD1,5,3,,0x0,FALSE,TRUE,FALSE,,,
RW_ERRTOP_ALL_w3,,8,RW,,,,err_wr_data,0,6,,0x0,TRUE,FALSE,FALSE,,,
RW_ERRTOP_ALL_w3,,8,RW,,,,RSVD2,6,2,,0x0,FALSE,TRUE,FALSE,,,
RO_ERRTOP_ALL_w0,,8,RO,,,,msk_dat_top,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_ERRTOP_ALL_w1,,8,RO,,,,msk_dat_top,0,5,,0x0,TRUE,FALSE,TRUE,,,
RO_ERRTOP_ALL_w1,,8,RO,,,,RSVD0,5,3,,0x0,FALSE,TRUE,TRUE,,,
RO_ERRTOP_ALL_w2,,8,RO,,,,err_dat_top,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_ERRTOP_ALL_w3,,8,RO,,,,err_dat_top,0,5,,0x0,TRUE,FALSE,TRUE,,,
RO_ERRTOP_ALL_w3,,8,RO,,,,err_out_top,5,1,,0x0,TRUE,FALSE,TRUE,,,
RO_ERRTOP_ALL_w3,,8,RO,,,,RSVD1,6,2,,0x0,FALSE,TRUE,TRUE,,,
RO_ERRTOP_ALL_w4,,8,RO,,,,tmr_err_cnt_err_top,0,8,,0x0,TRUE,FALSE,TRUE,,,
RW_EPRXGRP_TOP_ALL_w0,,8,RW,,,,dllCurrentSet,0,2,,0x0,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w0,,8,RW,,,,dllCoarseLockDetection,2,1,,0x0,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w0,,8,RW,,,,dataGatingEnable,3,1,,0x1,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w0,,8,RW,,,,trackMode,4,2,,0x1,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w0,,8,RW,,,,dllLockThreshold,6,2,,0x2,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w1,,8,RW,,,,dllLockThreshold,0,1,,0x0,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w1,,8,RW,,,,dllReLockThreshold,1,3,,0x2,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w1,,8,RW,,,,dllUnLockThreshold,4,3,,0x2,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w1,,8,RW,,,,dllConfirmCountSelect,7,1,,0x1,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w2,,8,RW,,,,dllConfirmCountSelect,0,1,,0x0,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w2,,8,RW,,,,dllInitSMForceClockEnable,1,1,,0x0,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w2,,8,RW,,,,enableReInit,2,1,,0x0,TRUE,FALSE,FALSE,,,
RW_EPRXGRP_TOP_ALL_w2,,8,RW,,,,RSVD0,3,5,,0x0,FALSE,TRUE,FALSE,,,
RO_EPRXGRP_TOP_ALL_w0,,8,RO,,,,tmr_err_cnt_eprxgrp_top,0,8,,0x0,TRUE,FALSE,TRUE,,,
RW_FCTRL_ALL_w0,,8,RW,,,,EdgeSel_T1,0,1,,0x1,TRUE,FALSE,FALSE,,,
RW_FCTRL_ALL_w0,,8,RW,,,,PreL1AOffset,1,2,,0x0,TRUE,FALSE,FALSE,,,
RW_FCTRL_ALL_w0,,8,RW,,,,invert_command_rx,3,1,,0x0,TRUE,FALSE,FALSE,,,
RW_FCTRL_ALL_w0,,8,RW,,,,RSVD0,4,4,,0x2,FALSE,TRUE,FALSE,,,
RW_FCTRL_ALL_w1,,8,RW,,,,Capture_FCmd_Ctrl,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_FCTRL_ALL_w2,,8,RW,,,,Capture_FCmd_Ctrl,0,8,,0x0,TRUE,FALSE,FALSE,,,
RW_FCTRL_ALL_w3,,8,RW,,,,Capture_FCmd_Ctrl,0,6,,0x0,TRUE,FALSE,FALSE,,,
RW_FCTRL_ALL_w3,,8,RW,,,,RSVD1,6,2,,0x0,FALSE,TRUE,FALSE,,,
RO_FCTRL_ALL_w0,,8,RO,,,,command_rx_inverted,0,1,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w0,,8,RO,,,,locked,1,1,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w0,,8,RO,,,,RSVD0,2,6,,0x0,FALSE,TRUE,TRUE,,,
RO_FCTRL_ALL_w1,,8,RO,,,,lock_count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w2,,8,RO,,,,BCR_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w3,,8,RO,,,,OCR_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w4,,8,RO,,,,L1A_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w5,,8,RO,,,,NZS_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w6,,8,RO,,,,CalPulseInt_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w7,,8,RO,,,,CalPulseExt_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w8,,8,RO,,,,EBR_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w9,,8,RO,,,,ECR_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w10,,8,RO,,,,LINK_RESET_ROC_T_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w11,,8,RO,,,,LINK_RESET_ROC_D_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w12,,8,RO,,,,LINK_RESET_ECON_T_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w13,,8,RO,,,,LINK_RESET_ECON_D_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w14,,8,RO,,,,SPARE_0_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w15,,8,RO,,,,SPARE_1_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w16,,8,RO,,,,SPARE_2_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w17,,8,RO,,,,SPARE_3_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w18,,8,RO,,,,SPARE_4_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w19,,8,RO,,,,SPARE_5_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w20,,8,RO,,,,SPARE_6_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w21,,8,RO,,,,SPARE_7_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w22,,8,RO,,,,UNASSIGNED_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w23,,8,RO,,,,fc_error_FCmd_Count,0,8,,0x0,TRUE,FALSE,TRUE,,,
RO_FCTRL_ALL_w24,,8,RO,,,,tmr_err_cnt_fast_ctrl_decoder,0,8,,0x0,TRUE,FALSE,TRUE,,,
RW_ERX_ALL_w0,,8,RW,,,,erx_ch_00_enable,0,1,,0x1,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w0,,8,RW,,,,erx_ch_00_invert_data,1,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w0,,8,RW,,,,erx_ch_00_enable_termination,2,1,,0x1,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w0,,8,RW,,,,erx_ch_00_equalizer,3,2,,0x0,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w0,,8,RW,,,,erx_ch_00_set_common_mode,5,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w0,,8,RW,,,,RSVD0,6,2,,0x0,FALSE,TRUE,FALSE,,,
RW_ERX_ALL_w1,,8,RW,,,,erx_ch_01_enable,0,1,,0x1,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w1,,8,RW,,,,erx_ch_01_invert_data,1,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w1,,8,RW,,,,erx_ch_01_enable_termination,2,1,,0x1,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w1,,8,RW,,,,erx_ch_01_equalizer,3,2,,0x0,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w1,,8,RW,,,,erx_ch_01_set_common_mode,5,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w1,,8,RW,,,,RSVD1,6,2,,0x0,FALSE,TRUE,FALSE,,,
RW_ERX_ALL_w2,,8,RW,,,,erx_ch_02_enable,0,1,,0x1,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w2,,8,RW,,,,erx_ch_02_invert_data,1,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w2,,8,RW,,,,erx_ch_02_enable_termination,2,1,,0x1,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w2,,8,RW,,,,erx_ch_02_equalizer,3,2,,0x0,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w2,,8,RW,,,,erx_ch_02_set_common_mode,5,1,,0x0,TRUE,FALSE,FALSE,,,
RW_ERX_ALL_w2,,8,RW,,,,RSVD2,6,2,,0x0,FALSE,TRUE,FALSE,,,
RW_ERX_ALL_w3,,8,RW,,,,erx_ch_03_enable,0,1,,0x1,TRUE,FALSE,FALSE,,,
